Kunde,Purchase_Dt,MaterialNo,Component,Amount,AssetClass
Nordic Steel Works,03.09.2024,ELC-770,Furnace Electrode,2,Arc Furnace 1
Nordic Steel Works,16.09.2024,RFB-260,Refractory Brick,16,Arc Furnace 1
Nordic Steel Works,26.09.2024,CLN-140,Cooling Nozzle,4,Rolling Mill 2
Nordic Steel Works,30.09.2024,RLB-390,Roller Bearing,2,Rolling Mill 2
Nordic Steel Works,12.10.2024,ELC-770,Furnace Electrode,3,Arc Furnace 1
Nordic Steel Works,24.10.2024,RFB-260,Refractory Brick,17,Arc Furnace 1
Nordic Steel Works,09.11.2024,HSL-610,Hydraulic Seal,3,Rolling Mill 2
Nordic Steel Works,02.12.2024,RFB-260,Refractory Brick,15,Arc Furnace 1
Nordic Steel Works,11.12.2024,ELC-770,Furnace Electrode,3,Arc Furnace 1
Nordic Steel Works,30.12.2024,CLN-140,Cooling Nozzle,3,Rolling Mill 2
Nordic Steel Works,10.01.2025,RLB-390,Roller Bearing,1,Rolling Mill 2
Nordic Steel Works,14.01.2025,RFB-260,Refractory Brick,10,Arc Furnace 1
Nordic Steel Works,17.01.2025,HSL-610,Hydraulic Seal,1,Rolling Mill 2
Nordic Steel Works,28.01.2025,ELC-770,Furnace Electrode,4,Arc Furnace 1
Nordic Steel Works,13.02.2025,RFB-260,Refractory Brick,17,Arc Furnace 1
Nordic Steel Works,16.03.2025,RFB-260,Refractory Brick,11,Arc Furnace 1
Nordic Steel Works,24.03.2025,CLN-140,Cooling Nozzle,5,Rolling Mill 2
Nordic Steel Works,26.03.2025,ELC-770,Furnace Electrode,4,Arc Furnace 1
Nordic Steel Works,28.03.2025,HSL-610,Hydraulic Seal,3,Rolling Mill 2
Nordic Steel Works,16.04.2025,RFB-260,Refractory Brick,11,Arc Furnace 1
Nordic Steel Works,10.05.2025,RLB-390,Roller Bearing,1,Rolling Mill 2
Nordic Steel Works,11.05.2025,ELC-770,Furnace Electrode,2,Arc Furnace 1
Nordic Steel Works,16.05.2025,RFB-260,Refractory Brick,12,Arc Furnace 1
Nordic Steel Works,07.06.2025,CLN-140,Cooling Nozzle,4,Rolling Mill 2
Nordic Steel Works,12.06.2025,HSL-610,Hydraulic Seal,2,Rolling Mill 2
Nordic Steel Works,18.06.2025,RFB-260,Refractory Brick,24,Arc Furnace 1
Nordic Steel Works,25.06.2025,ELC-770,Furnace Electrode,3,Arc Furnace 1
Nordic Steel Works,22.07.2025,RFB-260,Refractory Brick,13,Arc Furnace 1
Nordic Steel Works,14.08.2025,ELC-770,Furnace Electrode,4,Arc Furnace 1
Nordic Steel Works,16.08.2025,HSL-610,Hydraulic Seal,3,Rolling Mill 2
Nordic Steel Works,23.08.2025,RLB-390,Roller Bearing,1,Rolling Mill 2
Nordic Steel Works,27.08.2025,RFB-260,Refractory Brick,15,Arc Furnace 1
Nordic Steel Works,17.09.2025,CLN-140,Cooling Nozzle,2,Rolling Mill 2
Nordic Steel Works,30.09.2025,RFB-260,Refractory Brick,18,Arc Furnace 1
Nordic Steel Works,04.10.2025,ELC-770,Furnace Electrode,4,Arc Furnace 1
Nordic Steel Works,18.10.2025,HSL-610,Hydraulic Seal,1,Rolling Mill 2
Nordic Steel Works,08.11.2025,RFB-260,Refractory Brick,21,Arc Furnace 1
Nordic Steel Works,27.11.2025,ELC-770,Furnace Electrode,2,Arc Furnace 1
Nordic Steel Works,30.11.2025,RLB-390,Roller Bearing,2,Rolling Mill 2
Nordic Steel Works,07.12.2025,CLN-140,Cooling Nozzle,5,Rolling Mill 2
Nordic Steel Works,09.12.2025,RFB-260,Refractory Brick,22,Arc Furnace 1
Nordic Steel Works,24.12.2025,HSL-610,Hydraulic Seal,2,Rolling Mill 2
Nordic Steel Works,17.01.2026,ELC-770,Furnace Electrode,4,Arc Furnace 1
Nordic Steel Works,23.01.2026,RFB-260,Refractory Brick,20,Arc Furnace 1
Nordic Steel Works,21.02.2026,RFB-260,Refractory Brick,18,Arc Furnace 1
Nordic Steel Works,22.02.2026,HSL-610,Hydraulic Seal,1,Rolling Mill 2
Nordic Steel Works,24.02.2026,ELC-770,Furnace Electrode,4,Arc Furnace 1
Nordic Steel Works,08.03.2026,CLN-140,Cooling Nozzle,4,Rolling Mill 2
Nordic Steel Works,25.03.2026,RLB-390,Roller Bearing,2,Rolling Mill 2
Nordic Steel Works,26.03.2026,RFB-260,Refractory Brick,14,Arc Furnace 1
Nordic Steel Works,16.04.2026,ELC-770,Furnace Electrode,2,Arc Furnace 1
Nordic Steel Works,01.05.2026,RFB-260,Refractory Brick,24,Arc Furnace 1
Nordic Steel Works,13.05.2026,HSL-610,Hydraulic Seal,2,Rolling Mill 2
Nordic Steel Works,03.06.2026,CLN-140,Cooling Nozzle,3,Rolling Mill 2
Nordic Steel Works,04.06.2026,RFB-260,Refractory Brick,12,Arc Furnace 1
Nordic Steel Works,10.06.2026,ELC-770,Furnace Electrode,2,Arc Furnace 1
Nordic Steel Works,08.07.2026,RFB-260,Refractory Brick,21,Arc Furnace 1
Nordic Steel Works,17.07.2026,RLB-390,Roller Bearing,1,Rolling Mill 2
Nordic Steel Works,23.07.2026,HSL-610,Hydraulic Seal,1,Rolling Mill 2
Nordic Steel Works,01.08.2026,ELC-770,Furnace Electrode,2,Arc Furnace 1
Nordic Steel Works,20.08.2026,RFB-260,Refractory Brick,18,Arc Furnace 1
Nordic Steel Works,27.08.2026,CLN-140,Cooling Nozzle,5,Rolling Mill 2
